iter	Passed	Remaining
188	8021	34420
189	8065	34384
190	8100	34308
191	8138	34251
192	8179	34203
193	8217	34141
194	8254	34074
195	8288	33998
196	8324	33932
197	8366	33887
198	8405	33831
199	8439	33758
200	8482	33718
201	8526	33684
202	8575	33669
203	8619	33632
204	8654	33563
205	8688	33490
206	8723	33420
207	8759	33351
208	8796	33290
209	8829	33215
210	8867	33157
211	8900	33084
212	8937	33022
213	8972	32955
214	9008	32892
215	9046	32834
216	9082	32770
217	9117	32707
218	9154	32645
219	9192	32592
220	9232	32545
221	9266	32474
222	9310	32441
223	9381	32498
224	9423	32457
225	9456	32385
226	9497	32341
227	9536	32289
228	9574	32235
229	9609	32170
230	9653	32137
231	9697	32101
232	9740	32065
233	9777	32007
234	9824	31981
235	9862	31926
236	9904	31885
237	9938	31821
238	9976	31767
239	10037	31786
240	10086	31766
241	10128	31724
242	10169	31681
243	10212	31641
244	10252	31593
245	10285	31526
246	10324	31474
247	10367	31436
248	10413	31406
249	10452	31358
250	10493	31313
251	10532	31262
252	10570	31210
253	10608	31156
254	10648	31110
255	10683	31049
256	10718	30988
257	10755	30933
258	10804	30910
259	10848	30875
260	10884	30817
261	10919	30758
262	10962	30720
263	11001	30670
264	11038	30617
265	11081	30577
266	11121	30531
267	11153	30464
268	11187	30402
269	11227	30356
270	11260	30291
271	11298	30240
272	11338	30194
273	11370	30126
274	11402	30062
275	11440	30010
276	11484	29976
277	11519	29917
278	11560	29873
279	11596	29820
280	11642	29788
281	11689	29763
282	11740	29745
283	11783	29707
284	11826	29669
285	11868	29630
286	11911	29591
287	11956	29558
288	11996	29513
289	12033	29462
290	12074	29419
291	12117	29380
292	12149	29316
293	12185	29261
294	12220	29204
295	12254	29145
296	12289	29088
297	12326	29037
298	12362	28984
299	12406	28947
300	12444	28898
301	12486	28860
302	12526	28815
303	12568	28774
304	12624	28767
305	12690	28782
306	12754	28790
307	12796	28750
308	12834	28701
309	12868	28641
310	12908	28597
311	12942	28540
312	12982	28494
313	13029	28466
314	13079	28442
315	13122	28403
316	13188	28415
317	13230	28375
318	13272	28334
319	13325	28316
320	13381	28305
321	13433	28284
322	13472	28238
323	13515	28199
324	13561	28166
325	13612	28142
326	13656	28105
327	13702	28073
328	13753	28049
329	13796	28011
330	13848	27990
331	13896	27961
332	13944	27930
333	13990	27896
334	14037	27865
335	14083	27831
336	14177	27891
337	14234	27880
338	14294	27871
339	14362	27879
340	14407	27842
341	14468	27837
342	14525	27822
343	14571	27786
344	14622	27761
345	14670	27729
346	14725	27711
347	14781	27694
348	14825	27655
349	14877	27630
350	14922	27591
351	14969	27557
352	15013	27516
353	15060	27482
354	15100	27436
355	15142	27391
356	15181	27342
357	15230	27313
358	15286	27294
359	15339	27270
360	15387	27236
361	15428	27191
362	15470	27147
363	15510	27100
364	15554	27060
365	15598	27021
366	15642	26980
367	15684	26937
368	15726	26892
369	15762	26839
370	15802	26792
371	15842	26745
372	15883	26700
373	15926	26658
374	15969	26616
375	16017	26582
376	16058	26536
377	16096	26487
378	16134	26436
379	16173	26389
380	16217	26348
381	16260	26306
382	16302	26263
383	16343	26217
384	16396	26191
385	16450	26167
386	16501	26138
387	16546	26099
388	16591	26060
389	16629	26010
390	16669	25962
391	16710	25918
392	16752	25874
393	16791	25826
394	16827	25773
395	16869	25730
396	16910	25685
397	16957	25649
398	17001	25609
399	17043	25565
400	17086	25523
401	17127	25477
402	17166	25430
403	17211	25391
404	17250	25343
405	17293	25300
406	17332	25253
407	17377	25214
408	17418	25169
409	17459	25124
410	17509	25092
411	17552	25050
412	17604	25021
413	17647	24979
414	17688	24934
415	17727	24887
416	17765	24837
417	17805	24791
418	17853	24756
419	17895	24712
420	17931	24661
421	17975	24620
422	18012	24570
423	18052	24524
424	18104	24494
425	18152	24458
426	18194	24415
427	18234	24369
428	18278	24329
429	18323	24288
430	18369	24251
431	18408	24204
432	18448	24158
433	18488	24112
434	18533	24072
435	18582	24038
436	18625	23995
437	18678	23966
438	18725	23929
439	18767	23885
440	18805	23837
441	18842	23787
442	18881	23739
443	18920	23693
444	18959	23645
445	18996	23596
446	19038	23553
447	19086	23516
448	19131	23477
449	19173	23434
450	19215	23391
451	19264	23355
452	19306	23312
453	19364	23287
454	19405	23244
455	19443	23196
456	19484	23150
457	19527	23109
458	19573	23069
459	19608	23018
460	19645	22969
461	19684	22922
462	19728	22881
463	19776	22845
464	19821	22805
465	19863	22762
466	19903	22716
467	19943	22671
468	19984	22626
469	20024	22581
470	20073	22545
471	20115	22501
472	20151	22452
473	20189	22404
474	20239	22369
475	20281	22326
476	20327	22287
477	20362	22236
478	20410	22200
479	20455	22160
480	20501	22121
481	20545	22079
482	20584	22033
483	20631	21996
484	20695	21975
485	20748	21944
486	20799	21910
487	20845	21870
488	20893	21833
489	20947	21802
490	21007	21777
491	21054	21739
492	21097	21696
493	21137	21651
494	21179	21607
495	21229	21571
496	21269	21525
497	21310	21481
498	21345	21431
499	21389	21389
500	21425	21339
501	21463	21292
502	21508	21252
503	21552	21210
504	21601	21173
505	21652	21138
506	21698	21099
507	21751	21066
508	21799	21028
509	21848	20991
510	21895	20953
511	21936	20907
512	21974	20860
513	22017	20817
514	22063	20777
515	22116	20745
516	22160	20702
517	22203	20660
518	22247	20618
519	22287	20572
520	22337	20537
521	22382	20495
522	22427	20454
523	22466	20408
524	22507	20363
525	22551	20322
526	22597	20281
527	22638	20237
528	22680	20194
529	22722	20149
530	22772	20113
531	22828	20082
532	22870	20038
533	22916	19998
534	22956	19952
535	23002	19912
536	23045	19869
537	23087	19826
538	23134	19786
539	23179	19745
540	23229	19708
541	23275	19668
542	23315	19622
543	23363	19583
544	23400	19536
545	23439	19489
546	23483	19448
547	23529	19407
548	23574	19366
549	23611	19318
550	23651	19273
551	23691	19227
552	23734	19184
553	23775	19140
554	23821	19100
555	23866	19059
556	23918	19022
557	23955	18975
558	23996	18930
559	24037	18886
560	24080	18843
561	24132	18807
562	24176	18765
563	24220	18723
564	24270	18686
565	24373	18689
566	24441	18665
567	24501	18634
568	24556	18600
569	24609	18565
570	24652	18522
571	24697	18479
572	24750	18444
573	24897	18478
574	24980	18463
575	25038	18431
576	25089	18393
577	25159	18369
578	25202	18325
579	25257	18289
580	25307	18250
581	25359	18213
582	25420	18182
583	25488	18156
584	25539	18117
585	25586	18076
586	25635	18036
587	25687	17999
588	25738	17959
589	25789	17921
590	25828	17874
591	25879	17835
592	25933	17799
593	25985	17760
594	26033	17720
595	26072	17673
596	26121	17633
597	26160	17586
598	26201	17540
599	26247	17498
600	26299	17460
601	26344	17417
602	26388	17373
603	26429	17328
604	26476	17286
605	26520	17242
606	26567	17201
607	26622	17164
608	26662	17118
609	26703	17072
610	26746	17028
611	26788	16983
612	26832	16939
613	26873	16894
614	26910	16846
615	26948	16799
616	26992	16755
617	27033	16709
618	27084	16670
619	27122	16623
620	27165	16579
621	27205	16533
622	27250	16490
623	27289	16443
624	27346	16408
625	27387	16362
626	27429	16317
627	27471	16272
628	27518	16231
629	27560	16186
630	27605	16143
631	27660	16106
632	27718	16070
633	27768	16030
634	27810	15985
635	27858	15944
636	27904	15901
637	27947	15857
638	27996	15816
639	28037	15770
640	28076	15724
641	28116	15678
642	28157	15633
643	28196	15587
644	28238	15542
645	28280	15497
646	28336	15460
647	28381	15417
648	28434	15378
649	28477	15333
650	28518	15288
651	28566	15247
652	28612	15204
653	28653	15159
654	28691	15112
655	28737	15069
656	28783	15027
657	28832	14986
658	28882	14945
659	28921	14899
660	28968	14856
661	29019	14816
662	29061	14771
663	29104	14727
664	29149	14684
665	29190	14639
666	29223	14590
667	29259	14542
668	29300	14496
669	29339	14450
670	29380	14405
671	29420	14360
672	29463	14315
673	29504	14270
674	29546	14225
675	29589	14181
676	29639	14140
677	29679	14095
678	29724	14052
679	29760	14004
680	29800	13959
681	29839	13913
682	29885	13870
683	29925	13825
684	29975	13784
685	30018	13740
686	30064	13697
687	30106	13652
688	30150	13609
689	30197	13567
690	30242	13523
691	30284	13479
692	30323	13433
693	30364	13388
694	30406	13343
695	30450	13300
696	30500	13259
697	30543	13215
698	30585	13170
699	30632	13128
700	30681	13086
701	30725	13043
702	30770	12999
703	30816	12956
704	30859	12912
705	30904	12869
706	30948	12825
707	30992	12782
708	31041	12740
709	31087	12697
710	31134	12655
711	31176	12610
712	31220	12567
713	31273	12526
714	31322	12485
715	31375	12445
716	31413	12399
717	31467	12358
718	31507	12313
719	31551	12269
720	31593	12225
721	31634	12180
722	31673	12135
723	31715	12090
724	31756	12045
725	31799	12001
726	31843	11957
727	31882	11912
728	31923	11867
729	31965	11822
730	32010	11779
731	32050	11734
732	32092	11689
733	32146	11649
734	32193	11607
735	32243	11565
736	32283	11520
737	32328	11477
738	32371	11432
739	32410	11387
740	32447	11341
741	32488	11296
742	32524	11250
743	32563	11204
744	32601	11159
745	32643	11114
746	32691	11072
747	32733	11027
748	32785	10986
749	32832	10944
750	32876	10900
751	32919	10856
752	32966	10813
753	33017	10772
754	33059	10727
755	33105	10684
756	33142	10638
757	33188	10595
758	33224	10549
759	33271	10506
760	33319	10464
761	33375	10424
762	33415	10379
763	33458	10335
764	33504	10292
765	33543	10246
766	33589	10203
767	33629	10158
768	33665	10112
769	33703	10067
770	33748	10023
771	33788	9978
772	33829	9934
773	33864	9888
774	33903	9842
775	33947	9799
776	33986	9754
777	34035	9712
778	34077	9667
779	34117	9622
780	34154	9577
781	34189	9531
782	34229	9486
783	34264	9440
784	34308	9396
785	34374	9358
786	34427	9317
787	34470	9273
788	34513	9229
789	34562	9187
790	34600	9142
791	34637	9096
792	34685	9054
793	34730	9010
794	34776	8967
795	34827	8925
796	34868	8881
797	34907	8836
798	34949	8791
799	34992	8748
800	35033	8703
801	35074	8659
802	35116	8615
803	35157	8570
804	35205	8527
805	35244	8483
806	35285	8438
807	35325	8394
808	35367	8350
809	35418	8307
810	35465	8265
811	35510	8221
812	35566	8180
813	35617	8138
814	35652	8092
815	35701	8050
816	35737	8004
817	35772	7959
818	35811	7914
819	35851	7869
820	35891	7825
821	35924	7779
822	35961	7734
823	35997	7688
824	36036	7644
825	36084	7601
826	36122	7556
827	36164	7512
828	36202	7467
829	36236	7421
830	36281	7378
831	36324	7334
832	36361	7289
833	36398	7244
834	36441	7200
835	36483	7157
836	36517	7111
837	36560	7067
838	36595	7022
839	36638	6978
840	36684	6935
841	36730	6892
842	36771	6848
843	36807	6803
844	36849	6759
845	36883	6714
846	36928	6670
847	36964	6625
848	37001	6580
849	37038	6536
850	37069	6490
851	37107	6445
852	37140	6400
853	37176	6355
854	37210	6310
855	37250	6266
856	37288	6222
857	37326	6177
858	37362	6132
859	37400	6088
860	37437	6043
861	37477	5999
862	37521	5956
863	37565	5913
864	37608	5869
865	37653	5826
866	37710	5784
867	37756	5741
868	37802	5698
869	37848	5655
870	37890	5611
871	37932	5568
872	37966	5523
873	38005	5479
874	38041	5434
875	38078	5390
876	38118	5346
877	38157	5302
878	38197	5258
879	38231	5213
880	38267	5168
881	38306	5124
882	38345	5080
883	38383	5036
884	38417	4992
885	38458	4948
886	38497	4904
887	38541	4861
888	38579	4817
889	38615	4772
890	38658	4729
891	38696	4685
892	38732	4640
893	38778	4597
894	38819	4554
895	38858	4510
896	38900	4466
897	38952	4424
898	38990	4380
899	39025	4336
900	39066	4292
901	39113	4249
902	39146	4205
903	39182	4160
904	39216	4116
905	39247	4072
906	39284	4028
907	39327	3984
908	39368	3941
909	39404	3897
910	39444	3853
911	39484	3809
912	39521	3765
913	39558	3722
914	39599	3678
915	39636	3634
916	39673	3590
917	39714	3547
918	39757	3504
919	39790	3460
920	39823	3415
921	39865	3372
922	39902	3328
923	39941	3285
924	39981	3241
925	40023	3198
926	40072	3155
927	40117	3112
928	40153	3068
929	40193	3025
930	40229	2981
931	40266	2937
932	40301	2894
933	40332	2850
934	40365	2806
935	40407	2762
936	40445	2719
937	40484	2675
938	40523	2632
939	40560	2588
940	40602	2545
941	40638	2502
942	40679	2458
943	40712	2415
944	40751	2371
945	40786	2328
946	40822	2284
947	40857	2241
948	40893	2197
949	40944	2154
950	41004	2112
951	41035	2069
952	41072	2025
953	41114	1982
954	41156	1939
955	41203	1896
956	41243	1853
957	41289	1810
958	41329	1766
959	41364	1723
960	41401	1680
961	41440	1636
962	41480	1593
963	41511	1550
964	41557	1507
965	41593	1463
966	41657	1421
967	41715	1379
968	41762	1336
969	41814	1293
970	41863	1250
971	41914	1207
972	41953	1164
973	41992	1120
974	42032	1077
975	42073	1034
976	42119	991
977	42150	948
978	42188	904
979	42231	861
980	42274	818
981	42323	775
982	42367	732
983	42402	689
984	42438	646
985	42484	603
986	42514	559
987	42553	516
988	42589	473
989	42629	430
990	42670	387
991	42708	344
992	42741	301
993	42781	258
994	42815	215
995	42857	172
996	42897	129
997	42934	86
998	42967	43
999	43003	0
