iter	MultiClass
0	1.208952866
1	1.085013864
2	0.9928425632
3	0.9196543613
4	0.8583339039
5	0.8066191488
6	0.7647391303
7	0.7289846016
8	0.6978664766
9	0.67196959
10	0.6490868424
11	0.6280523077
12	0.6097537403
13	0.5933497892
14	0.5798446669
15	0.5673306577
16	0.5562418466
17	0.546011092
18	0.5378021814
19	0.5296163079
20	0.5225336847
21	0.5150997245
22	0.5080951314
23	0.5024720912
24	0.4979733001
25	0.4935384758
26	0.4892964448
27	0.4847351175
28	0.4814366602
29	0.4780491473
30	0.4752140353
31	0.4728720963
32	0.4700341233
33	0.4671899943
34	0.4652190097
35	0.4635551151
36	0.4615105228
37	0.4595242801
38	0.4584458773
39	0.4568992082
40	0.4559475601
41	0.4539086459
42	0.4528353424
43	0.451158785
44	0.4500368669
45	0.4491295326
46	0.4485050617
47	0.4477033164
48	0.4468057192
49	0.4462644253
50	0.4452533227
51	0.4442939083
52	0.4434436466
53	0.4423790572
54	0.4418628935
55	0.4410165513
56	0.4403404856
57	0.4396770605
58	0.4388316587
59	0.4384216187
60	0.4376116273
61	0.4366966159
62	0.4363113193
63	0.4358584569
64	0.4352299663
65	0.4346727355
66	0.4340619387
67	0.4334951522
68	0.4330551887
69	0.4325524489
70	0.4320937342
71	0.4313605558
72	0.4309628253
73	0.4304071326
74	0.4299840702
75	0.4294422622
76	0.4290037898
77	0.4281664446
78	0.4279022971
79	0.4274775688
80	0.4270668602
81	0.4267015503
82	0.4264015426
83	0.4261374613
84	0.4257829397
85	0.4254906955
86	0.4250084699
87	0.4245442445
88	0.4242223448
89	0.4239992411
90	0.423497098
91	0.4230924816
92	0.4228491646
93	0.422574621
94	0.4221957924
95	0.4219680528
96	0.4216090637
97	0.421262761
98	0.4208409221
99	0.4207275183
100	0.4203546926
101	0.4198832339
102	0.4194759949
103	0.4192175307
104	0.4190164167
105	0.4187336047
106	0.4185216026
107	0.4183002466
108	0.4180847205
109	0.4178659337
110	0.4177607986
111	0.4176032912
112	0.4174290716
113	0.4172093767
114	0.4170327971
115	0.4166192639
116	0.4163086254
117	0.4161331242
118	0.4157687035
119	0.4156182785
120	0.4153093215
121	0.4151130633
122	0.4149595299
123	0.4146760826
124	0.4144823336
125	0.4143661063
126	0.4141530049
127	0.4139950747
128	0.4138232908
129	0.4136001091
130	0.4131658035
131	0.4130132166
132	0.4128531668
133	0.412696273
134	0.4124845554
135	0.412373923
136	0.4121469859
137	0.4119024806
138	0.4116417805
139	0.4113990057
140	0.4112151315
141	0.4110865357
142	0.4109576502
143	0.4107028498
144	0.4104456698
145	0.4102810476
146	0.4101696071
147	0.4099727867
148	0.4098806896
149	0.4097669837
150	0.4096060206
151	0.4092958597
152	0.4090372535
153	0.408935391
154	0.408689735
155	0.4085670946
156	0.4084212389
157	0.408225252
158	0.4078186139
159	0.4076880931
160	0.4073809317
161	0.4072978404
162	0.4070639253
163	0.4068288096
164	0.4066289083
165	0.4064213265
166	0.4062313877
167	0.4060823397
168	0.4059591954
169	0.4057368333
170	0.4056531742
171	0.405442283
172	0.4051504106
173	0.4048837536
174	0.4046598903
175	0.4045941571
176	0.4044851028
177	0.4043720738
178	0.4042221836
179	0.4040633414
180	0.4038803825
181	0.4036884218
182	0.4033931857
183	0.4033117036
184	0.4031891162
185	0.4030783423
186	0.4027469059
187	0.402591439
188	0.4025017982
189	0.4021273968
190	0.4020429483
191	0.4019373581
192	0.4017616786
193	0.4016066665
194	0.4015580385
195	0.4014073671
196	0.4012931394
197	0.4010052382
198	0.4008983117
199	0.4007714653
200	0.4005638161
201	0.4003119404
202	0.400025376
203	0.3998767104
204	0.3997674461
205	0.399681784
206	0.3995847141
207	0.3994918348
208	0.3993974379
209	0.3992654699
210	0.3991249927
211	0.3990612379
212	0.3987757767
213	0.3986748065
214	0.3985599153
215	0.3983316908
216	0.3982514549
217	0.3981472057
218	0.3979325372
219	0.3978045961
220	0.3976615891
221	0.3975773033
222	0.397432629
223	0.3973651057
224	0.3971689952
225	0.3971176587
226	0.3969674551
227	0.3968309777
228	0.3966893849
229	0.3966085487
230	0.396383535
231	0.3962689295
232	0.396145988
233	0.3958549218
234	0.3955006037
235	0.3954271123
236	0.3952784758
237	0.3952189749
238	0.395113934
239	0.3949633446
240	0.3948273157
241	0.3947272138
242	0.3946470159
243	0.3944445487
244	0.3942800632
245	0.3942064246
246	0.3941118803
247	0.3939368289
248	0.3937416596
249	0.3936307911
250	0.3934879285
251	0.3933555427
252	0.3931519832
253	0.3931131307
254	0.392877869
255	0.3927700771
256	0.3925766837
257	0.3925136053
258	0.3923793779
259	0.3923127707
260	0.3922252185
261	0.3921377635
262	0.3917535403
263	0.3916721874
264	0.391597377
265	0.3914658138
266	0.3913521387
267	0.3913008901
268	0.3911951801
269	0.3910548164
270	0.3909944771
271	0.3909170954
272	0.3908177616
273	0.3907650877
274	0.3907173625
275	0.3905216913
276	0.3901827404
277	0.3900656835
278	0.3899545214
279	0.3898937638
280	0.3898107881
281	0.3897604186
282	0.389540966
283	0.3894460396
284	0.389383027
285	0.3892997565
286	0.3892488862
287	0.3891675565
288	0.3891194671
289	0.388951644
290	0.3887587419
291	0.3886230616
292	0.388563385
293	0.3884548855
294	0.3883432067
295	0.3882752097
296	0.3881804322
297	0.3880810382
298	0.3880113809
299	0.3879160685
300	0.3878343273
301	0.3877370725
302	0.3876792645
303	0.3876180495
304	0.3874658605
305	0.3873838834
306	0.387321586
307	0.3872724822
308	0.3871746251
309	0.3870872835
310	0.3867234211
311	0.3866339309
312	0.3864678512
313	0.3863797183
314	0.3861005924
315	0.3858949299
316	0.3857649998
317	0.3857401855
318	0.3856554769
319	0.3855419268
320	0.3853661392
321	0.3852920437
322	0.3852371668
323	0.3851620064
324	0.3850681286
325	0.3847781108
326	0.3846876545
327	0.3845608716
328	0.3844717297
329	0.3844330147
330	0.3842216198
331	0.3841674104
332	0.384091958
333	0.383839815
334	0.3835505838
335	0.383372196
336	0.3832435775
337	0.3830985305
338	0.3829765428
339	0.3828770485
340	0.3827829882
341	0.382553415
342	0.3823164354
343	0.3822718753
344	0.3821557914
345	0.3821019402
346	0.3820245637
347	0.3816909168
348	0.381626565
349	0.3815651625
350	0.3814974538
351	0.3814378122
352	0.3813632661
353	0.3812631096
354	0.3811999471
355	0.3810882026
356	0.3810377357
357	0.3807288893
358	0.3803039804
359	0.3802309985
360	0.3801184528
361	0.3800259411
362	0.3799066788
363	0.3798111294
364	0.3797519173
365	0.3796426091
366	0.3795532978
367	0.3793337001
368	0.3792665021
369	0.3792203375
370	0.3791561752
371	0.3791060965
372	0.3790375751
373	0.378830174
374	0.3786858934
375	0.3785817594
376	0.3784934539
377	0.3784055009
378	0.3783339415
379	0.3782474094
380	0.3781899573
381	0.3779748998
382	0.3779005563
383	0.3778355933
384	0.377489668
385	0.3773917755
386	0.3773410975
387	0.3771289847
388	0.3770290115
389	0.3769972912
390	0.3769435269
391	0.3768569918
392	0.3767882165
393	0.3767241417
394	0.3766719153
395	0.3766018486
